file,z,normalized,norm_factor,norm_window_min,norm_window_max,norm_error,err_norm_mean,err_norm_median
rubies-uds23-v4_prism-clear_4233_144195.spec.fits,3.3547552,True,1.1540607944529554e-20,0.3446,0.3646,,0.7483367044725086,0.7248849669228947
rubies-uds23-v4_prism-clear_4233_167741.spec.fits,4.1157036,True,4.5635993667212247e-20,0.3446,0.3646,,0.42279691078318143,0.418465969669799
rubies-uds23-v4_prism-clear_4233_172350.spec.fits,5.5864534,True,1.478841053147609e-20,0.3446,0.3646,,0.4236619719942812,0.42316632100514406
rubies-uds23-v4_prism-clear_4233_981721.spec.fits,7.206081,True,8.656328579942313e-21,0.3446,0.3646,,1.7306372041704448,1.7380125263136958
rubies-uds3-v4_prism-clear_4233_47509.spec.fits,5.671981,True,2.5955415440235737e-20,0.3446,0.3646,,0.2587104004880653,0.25857070941591254
rubies-uds3-v4_prism-clear_4233_50716.spec.fits,6.170604,True,8.032693800152639e-21,0.3446,0.3646,,0.9887554608456605,0.9913345136206085
rubies-uds31-v4_prism-clear_4233_154183.spec.fits,3.548925327627479,True,8.320946423969908e-21,0.3446,0.3646,,0.8932697323003337,0.8844290967718504
rubies-uds31-v4_prism-clear_4233_981721.spec.fits,7.1974497,True,4.715829997209875e-21,0.3446,0.3646,,1.5174408864966316,1.448168552419554
rubies-uds33-v4_prism-clear_4233_29813.spec.fits,5.442071,True,1.283219285565333e-20,0.3446,0.3646,,0.5373392053955525,0.5151024512075933
rubies-uds33-v4_prism-clear_4233_53692.spec.fits,5.2792883,False,,,,Invalid normalization factor,,
rubies-uds42-v4_prism-clear_4233_23438.spec.fits,3.6860464,True,2.4288454066594866e-20,0.3446,0.3646,,0.4060345018297514,0.4234300650658031
rubies-uds42-v4_prism-clear_4233_807469.spec.fits,6.7795324,False,,,,Invalid normalization factor,,
rubies-uds43-v4_prism-clear_4233_40800.spec.fits,4.982409,True,1.1109908925759143e-20,0.3446,0.3646,,0.7107068550417962,0.7283383673268495
rubies-uds43-v4_prism-clear_4233_848745.spec.fits,7.1175017,True,6.1159823263062906e-21,0.3446,0.3646,,1.4448390395327297,1.476388263889225
rxj2129-ddt-v4_prism-clear_2767_11024.spec.fits,4.2948875,False,,,,Invalid normalization factor,,
uncover-61-v4_prism-clear_2561_20698.spec.fits,2.417316,True,3.2619681499920205e-20,0.3446,0.3646,,0.09250326526803157,0.09191236401123064
uncover-61-v4_prism-clear_2561_21547.spec.fits,5.0578914,True,2.869545163044864e-20,0.3446,0.3646,,0.08817461849322224,0.08534861236760052
uncover-61-v4_prism-clear_2561_24968.spec.fits,6.3467827,True,8.990389538241546e-21,0.3446,0.3646,,0.2699957384204288,0.2652566642591588
uncover-61-v4_prism-clear_2561_27114.spec.fits,5.1957436,True,5.7655679242098224e-21,0.3446,0.3646,,0.5750692101481192,0.5605961846188172
