file,z,grading
rubies-egs51-v4_prism-clear_4233_926125.spec.fits,5.2878757,yes
rubies-egs51-v4_prism-clear_4233_927271.spec.fits,6.788556,yes
rubies-egs52-v4_prism-clear_4233_29489.spec.fits,4.542522,yes
rubies-egs52-v4_prism-clear_4233_37124.spec.fits,5.68516,yes
rubies-egs53-v4_prism-clear_4233_42046.spec.fits,5.2845182,yes
rubies-egs61-v4_prism-clear_4233_55604.spec.fits,6.988607,yes
rubies-egs61-v4_prism-clear_4233_61496.spec.fits,5.083718,yes
rubies-egs61-v4_prism-clear_4233_952625.spec.fits,5.1085505,yes
rubies-egs62-v4_prism-clear_4233_42232.spec.fits,4.9565415,yes
rubies-egs62-v4_prism-clear_4233_948917.spec.fits,6.7316566,yes
rubies-egs63-v4_prism-clear_4233_28812.spec.fits,4.228986,yes
rubies-egs63-v4_prism-clear_4233_38434.spec.fits,2.8590343,yes
rubies-egs63-v4_prism-clear_4233_42232.spec.fits,4.954755,yes
rubies-egs63-v4_prism-clear_4233_42803.spec.fits,7.1516957,yes
rubies-egs63-v4_prism-clear_4233_49140.spec.fits,6.6877327,yes
rubies-uds1-v4_prism-clear_4233_11917.spec.fits,2.5857115,yes
rubies-uds1-v4_prism-clear_4233_31747.spec.fits,4.129401,yes
rubies-uds1-v4_prism-clear_4233_40579.spec.fits,3.113558,yes
rubies-uds1-v4_prism-clear_4233_928474.spec.fits,6.929497,yes
rubies-uds21-v4_prism-clear_4233_175975.spec.fits,2.9519691,yes
rubies-uds21-v4_prism-clear_4233_182791.spec.fits,4.717405,yes
rubies-uds22-v4_prism-clear_4233_119957.spec.fits,4.151636,yes
rubies-uds22-v4_prism-clear_4233_139709.spec.fits,5.68399,yes
rubies-uds23-v4_prism-clear_4233_144195.spec.fits,3.3547552,yes
rubies-uds23-v4_prism-clear_4233_167741.spec.fits,4.1157036,yes
rubies-uds23-v4_prism-clear_4233_172350.spec.fits,5.5864534,yes
rubies-uds23-v4_prism-clear_4233_981721.spec.fits,7.206081,yes
rubies-uds3-v4_prism-clear_4233_47509.spec.fits,5.671981,yes
rubies-uds3-v4_prism-clear_4233_50716.spec.fits,6.170604,yes
rubies-uds31-v4_prism-clear_4233_154183.spec.fits,3.548925327627479,yes
rubies-uds31-v4_prism-clear_4233_981721.spec.fits,7.1974497,yes
rubies-uds33-v4_prism-clear_4233_29813.spec.fits,5.442071,yes
rubies-uds33-v4_prism-clear_4233_53692.spec.fits,5.2792883,no
rubies-uds42-v4_prism-clear_4233_23438.spec.fits,3.6860464,yes
rubies-uds42-v4_prism-clear_4233_807469.spec.fits,6.7795324,yes
rubies-uds43-v4_prism-clear_4233_40800.spec.fits,4.982409,yes
rubies-uds43-v4_prism-clear_4233_848745.spec.fits,7.1175017,yes
rxj2129-ddt-v4_prism-clear_2767_11024.spec.fits,4.2948875,no
uncover-61-v4_prism-clear_2561_20698.spec.fits,2.417316,no
uncover-61-v4_prism-clear_2561_21547.spec.fits,5.0578914,no
uncover-61-v4_prism-clear_2561_24968.spec.fits,6.3467827,no
uncover-61-v4_prism-clear_2561_27114.spec.fits,5.1957436,no
uncover-62-v4_prism-clear_2561_24175.spec.fits,7.0356536,no
uncover-62-v4_prism-clear_2561_58453.spec.fits,4.471244,no
uncover-v4_prism-clear_2561_13123.spec.fits,7.0370483,no
uncover-v4_prism-clear_2561_15383.spec.fits,7.037048,no
uncover-v4_prism-clear_2561_16594.spec.fits,7.0346375,no
uncover-v4_prism-clear_2561_20466.spec.fits,8.509481,no
uncover-v4_prism-clear_2561_28876.spec.fits,7.0362444,no
uncover-v4_prism-clear_2561_38108.spec.fits,4.968462,no
uncover-v4_prism-clear_2561_4286.spec.fits,5.8352246,no
uncover-v4_prism-clear_2561_45924.spec.fits,4.463361263885918,no
uncover-v4_prism-clear_2561_49702.spec.fits,4.866683,no
