file,z,normalized,norm_factor,norm_window_min,norm_window_max,norm_error
uncover-62-v4_prism-clear_2561_58453.spec.fits,4.471244,True,1.1536981318732858e-19,0.3546,0.3746,
uncover-v4_prism-clear_2561_13123.spec.fits,7.0370483,True,8.439067529933823e-21,0.3546,0.3746,
uncover-v4_prism-clear_2561_15383.spec.fits,7.037048,True,1.1972818545049248e-20,0.3546,0.3746,
uncover-v4_prism-clear_2561_16594.spec.fits,7.0346375,True,3.1932668653501465e-21,0.3546,0.3746,
uncover-v4_prism-clear_2561_20466.spec.fits,8.509481,True,9.893854220989025e-21,0.3546,0.3746,
uncover-v4_prism-clear_2561_28876.spec.fits,7.0362444,True,4.466745402406826e-21,0.3546,0.3746,
uncover-v4_prism-clear_2561_38108.spec.fits,4.968462,True,1.365197422429405e-20,0.3546,0.3746,
uncover-v4_prism-clear_2561_4286.spec.fits,5.8352246,True,1.477175184448618e-20,0.3546,0.3746,
uncover-v4_prism-clear_2561_45924.spec.fits,4.463361263885918,True,1.3570413251774176e-19,0.3546,0.3746,
uncover-v4_prism-clear_2561_49702.spec.fits,4.866683,True,2.3991563373564902e-21,0.3546,0.3746,
